AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,0,1,1,22,1,25,0,2019,Harris County
ALDINE ISD PD,0,0,3,6,21,55,2,87,0,2019,Harris County
GALENA PARK PD,1,7,3,11,27,92,22,163,"10,934",2019,Harris County
SAN JACINTO COLLEGE PD,0,1,1,0,0,45,2,49,0,2019,Harris County
SPRING VALLEY VILLAGE PD,0,0,1,0,3,70,12,86,"4,414",2019,Harris County
KATY ISD PD,0,20,9,4,2,228,1,264,0,2019,Harris County
SOUTH HOUSTON PD,1,6,33,42,85,268,100,535,"17,655",2019,Harris County
HOUSTON COMM COLLEGE PD,0,0,3,1,7,118,9,138,0,2019,Harris County
LAKEVIEW PD,0,2,0,4,5,39,3,53,"6,361",2019,Harris County
SOUTHSIDE PLACE PD,0,0,2,1,2,10,1,16,"1,902",2019,Harris County
UNIV OF TX: HOUSTON  PD,0,5,3,0,9,279,5,301,0,2019,Harris County
SPRING ISD PD,0,3,3,47,6,62,1,122,0,2019,Harris County
LONE STAR COLLEGE PD,0,0,0,1,9,37,11,58,0,2019,Harris County
LIBERTY CO SO,1,48,4,89,252,309,124,827,"61,001",2019,Liberty County
LIBERTY PD,0,5,2,19,29,181,6,242,"9,471",2019,Liberty County
CLEVELAND PD (NR),1,0,7,41,54,393,37,533,"8,284",2019,Liberty County
DAYTON PD,0,1,3,10,47,155,31,247,"8,464",2019,Liberty County
MATAGORDA CO SO,0,19,6,40,91,214,27,397,"14,241",2019,Matagorda County
VAN VLECK ISD PD,0,0,0,0,0,4,0,4,0,2019,Matagorda County
BAY CITY ISD PD,0,0,0,14,3,4,0,21,0,2019,Matagorda County
PALACIOS PD,0,2,0,13,14,80,0,109,"4,561",2019,Matagorda County
BAY CITY PD,0,19,6,49,142,537,26,779,"17,501",2019,Matagorda County
OAK RIDGE NORTH PD,0,0,1,2,2,33,2,40,"3,174",2019,Montgomery County
MONTGOMERY PD,0,1,1,5,5,16,3,31,"1,102",2019,Montgomery County
WILLIS PD,0,6,5,16,28,116,12,183,"6,587",2019,Montgomery County
MONTGOMERY CO SO,12,74,103,547,"1,052","3,366",558,"5,712","484,891",2019,Montgomery County
SPLENDORA PD,0,1,2,5,11,6,12,37,"2,199",2019,Montgomery County
MAGNOLIA PD,0,0,2,5,6,7,8,28,"2,218",2019,Montgomery County
CONROE ISD PD,0,19,2,101,4,95,0,221,0,2019,Montgomery County
CONROE PD,2,40,50,122,412,"1,848",156,"2,630","90,900",2019,Montgomery County
ROMAN FOREST PD,0,0,0,3,0,8,1,12,"2,031",2019,Montgomery County
PATTON VILLAGE PD,0,1,0,4,2,13,6,26,"2,095",2019,Montgomery County
SHENANDOAH PD,0,5,3,1,17,225,21,272,"3,077",2019,Montgomery County
LIVINGSTON PD,1,6,2,8,13,254,30,314,"5,112",2019,Polk County
CORRIGAN PD,0,2,0,9,5,17,8,41,"1,605",2019,Polk County
POLK CO SO,5,33,7,30,214,376,81,746,"40,751",2019,Polk County
ONALASKA PD,0,2,0,8,28,20,14,72,"2,852",2019,Polk County
SAN JACINTO CO SO,0,26,1,17,115,173,42,374,"28,832",2019,San Jacinto County
HUNTSVILLE PD,0,23,23,151,114,546,62,919,"41,881",2019,Walker County
WALKER CO SO,0,11,3,38,62,94,32,240,"30,689",2019,Walker County
BROOKSHIRE PD,0,5,4,14,12,60,10,105,"5,592",2019,Waller County
WALLER CO SO,1,18,7,22,83,163,32,326,"28,680",2019,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,11,3,4,18,76,12,124,0,2019,Waller County
HEMPSTEAD PD,2,6,7,44,25,113,10,207,"8,426",2019,Waller County
WALLER PD,0,0,0,4,5,38,7,54,"3,611",2019,Waller County
PRAIRIE VIEW PD,0,0,2,3,11,19,1,36,"6,543",2019,Waller County
WHARTON PD,0,4,13,23,40,156,13,249,"8,627",2019,Wharton County
WHARTON CO SO,1,10,4,46,73,126,30,290,"21,158",2019,Wharton County
WHARTON ISD PD,0,0,0,0,0,0,0,0,0,2019,Wharton County
EL CAMPO PD,0,4,8,34,64,277,18,405,"11,615",2019,Wharton County
BELLVILLE PD,1,0,1,15,12,30,5,64,"4,233",2020,Austin County
SEALY ISD PD,0,0,0,0,1,0,0,1,0,2020,Austin County
AUSTIN CO SO,1,3,1,9,18,44,17,93,"18,095",2020,Austin County
WALLIS PD,1,2,0,4,7,4,3,21,"1,309",2020,Austin County
SEALY PD,0,1,1,5,34,55,6,102,"6,484",2020,Austin County
OYSTER CREEK PD,0,4,0,6,1,10,4,25,"1,203",2020,Brazoria County
SWEENY PD,0,2,2,5,17,48,2,76,"3,716",2020,Brazoria County
WEST COLUMBIA PD,0,1,0,3,2,19,2,27,"3,823",2020,Brazoria County
MANVEL PD,0,5,2,10,20,64,7,108,"13,971",2020,Brazoria County
SURFSIDE BEACH PD,0,1,1,4,2,19,8,35,591,2020,Brazoria County
DANBURY PD (NR),0,0,0,0,0,1,0,1,"1,765",2020,Brazoria County
ANGLETON ISD PD,0,0,0,3,1,3,0,7,0,2020,Brazoria County
ANGLETON PD,0,14,4,20,18,259,22,337,"19,500",2020,Brazoria County
BRAZOSPORT ISD PD,0,1,0,3,2,5,0,11,0,2020,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,0,0,0,0,0,0,2020,Brazoria County
PEARLAND PD,3,30,34,61,181,"1,502",122,"1,933","126,111",2020,Brazoria County
ALVIN PD,0,18,13,53,70,607,58,819,"27,015",2020,Brazoria County
BRAZORIA CO SO,5,13,35,181,212,792,182,"1,420","123,459",2020,Brazoria County
CLUTE PD,1,9,9,17,51,123,25,235,"11,742",2020,Brazoria County
ALVIN ISD PD,0,0,0,1,2,40,0,43,0,2020,Brazoria County
RICHWOOD PD,1,5,0,1,6,49,1,63,"4,044",2020,Brazoria County
FREEPORT PD,1,3,2,42,49,174,1,272,"12,144",2020,Brazoria County
JONES CREEK PD (NR),0,0,0,2,2,16,2,22,"2,079",2020,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,1,1,1,5,9,2,19,"1,583",2020,Brazoria County
LAKE JACKSON PD,2,9,3,34,46,511,56,661,"27,265",2020,Brazoria County
BRAZORIA PD,0,0,1,6,6,30,6,49,"3,059",2020,Brazoria County
IOWA COLONY PD,0,2,1,3,15,21,5,47,"3,686",2020,Brazoria County
COLLEGE STATION PD,2,67,28,137,326,"1,787",214,"2,561","120,831",2020,Brazos County
BRYAN PD,7,104,49,305,280,"1,303",136,"2,184","87,435",2020,Brazos County
BRAZOS CO SO,0,9,2,19,53,213,24,320,"24,221",2020,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,4,1,7,16,191,28,247,0,2020,Brazos County
CHAMBERS CO SO,4,13,7,97,102,415,66,704,"33,564",2020,Chambers County
MONT BELVIEU PD,0,3,1,9,13,93,32,151,"6,954",2020,Chambers County
BARBERS HILL ISD PD,0,0,0,0,2,1,0,3,0,2020,Chambers County
RICHMOND PD,0,7,14,29,28,144,25,247,"12,630",2020,Fort Bend County
FULSHEAR PD,0,0,0,3,6,46,5,60,"14,094",2020,Fort Bend County
STAFFORD PD,1,11,19,30,52,463,73,649,"17,423",2020,Fort Bend County
SUGAR LAND PD,4,10,20,37,111,"1,080",89,"1,351","119,671",2020,Fort Bend County
NEEDVILLE PD,0,0,0,2,0,4,0,6,"3,121",2020,Fort Bend County
MEADOWS PLACE PD,0,0,4,2,10,128,1,145,"4,587",2020,Fort Bend County
ARCOLA PD,0,0,2,1,9,27,5,44,"2,811",2020,Fort Bend County
FORT BEND CO SO,11,151,115,726,675,"3,667",365,"5,710","507,976",2020,Fort Bend County
MISSOURI CITY PD,2,15,41,72,88,550,54,822,"76,476",2020,Fort Bend County
ROSENBERG PD,4,32,26,98,145,418,65,788,"39,162",2020,Fort Bend County
FORT BEND ISD PD,0,0,4,39,8,79,2,132,0,2020,Fort Bend County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,0,0,0,0,0,2020,Galveston County
LA MARQUE PD,4,12,24,81,116,620,76,933,"17,656",2020,Galveston County
KEMAH PD,0,3,0,5,11,76,6,101,"2,046",2020,Galveston County
UNIV OF TX: MEDICAL BRANCH PD,0,1,0,4,7,70,1,83,0,2020,Galveston County
GALVESTON CO SO,5,37,11,93,136,422,115,819,"42,513",2020,Galveston County
GALVESTON PD,6,84,65,177,212,"1,220",252,"2,016","50,751",2020,Galveston County
SANTA FE ISD PD,0,0,1,6,0,8,0,15,0,2020,Galveston County
GALVESTON ISD PD,0,0,0,5,2,7,0,14,0,2020,Galveston County
HITCHCOCK PD,0,2,2,14,38,53,12,121,"8,023",2020,Galveston County
BAYOU VISTA PD (NR),0,0,0,1,3,14,2,20,"1,644",2020,Galveston County
DICKINSON PD,1,15,13,49,118,246,48,490,"21,364",2020,Galveston County
FRIENDSWOOD PD,0,6,4,26,41,171,25,273,"40,795",2020,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,0,0,0,1,5,0,6,0,2020,Galveston County
LEAGUE CITY PD,1,40,25,65,169,"1,203",125,"1,628","110,518",2020,Galveston County
SANTA FE PD,0,22,4,8,41,107,24,206,"13,577",2020,Galveston County
JAMAICA BEACH PD,0,0,0,4,5,1,2,12,"1,089",2020,Galveston County
TEXAS CITY PD,11,36,29,103,188,"1,045",167,"1,579","50,660",2020,Galveston County
RICE UNIV PD,0,0,1,0,14,80,7,102,0,2020,Harris County
SPRING BRANCH ISD PD,0,1,1,1,4,27,1,35,0,2020,Harris County
PASADENA ISD PD,0,0,1,0,10,20,2,33,0,2020,Harris County
JACINTO CITY PD,0,1,10,4,23,246,48,332,"10,455",2020,Harris County
LA PORTE PD,0,14,12,55,64,323,55,523,"35,102",2020,Harris County
HOUSTON ISD PD,0,2,4,9,93,116,8,232,0,2020,Harris County
UNIV OF ST. THOMAS PD,0,0,1,1,0,9,2,13,0,2020,Harris County
PORT OF HOUSTON AUTH PD,0,0,0,1,0,7,1,9,0,2020,Harris County
UNIV OF HOUSTON PD,0,5,4,3,26,208,38,284,0,2020,Harris County
ALIEF ISD PD,0,0,1,9,7,35,2,54,0,2020,Harris County
TOMBALL PD,0,3,9,32,25,245,56,370,"11,901",2020,Harris County
JERSEY VILLAGE PD,0,2,7,8,60,152,52,281,"7,921",2020,Harris County
HOUSTON PD,414,"1,286","8,745","19,235","15,869","67,851","14,923","128,323","2,346,155",2020,Harris County
WEBSTER PD,0,7,26,38,89,614,89,863,"11,545",2020,Harris County
HOUSTON BAPTIST UNIV PD,0,0,0,1,5,5,0,11,0,2020,Harris County
HUMBLE PD,3,37,48,77,89,"1,051",203,"1,508","15,901",2020,Harris County
KATY PD,0,11,12,24,50,611,62,770,"22,797",2020,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,1,0,0,0,11,0,12,0,2020,Harris County
HARRIS CO SO,125,"1,021","2,078","5,601","6,598","30,431","6,851","52,705","1,965,544",2020,Harris County
DEER PARK PD,0,14,8,25,63,467,43,620,"33,631",2020,Harris County
BAYTOWN PD,9,42,83,202,390,"2,110",421,"3,257","77,823",2020,Harris County
BELLAIRE PD,0,2,13,11,36,215,10,287,"19,210",2020,Harris County
NASSAU BAY PD,1,2,3,11,32,56,11,116,"3,968",2020,Harris County
HEDWIG VILLAGE PD,0,0,2,3,3,150,10,168,"2,643",2020,Harris County
TEXAS SOUTHERN UNIV PD,0,2,1,3,11,72,8,97,0,2020,Harris County
HUMBLE ISD PD,1,0,0,1,5,38,0,45,0,2020,Harris County
WEST UNIVERSITY PLACE PD,0,0,5,0,22,115,9,151,"15,700",2020,Harris County
KLEIN ISD PD,0,3,0,3,3,64,0,73,0,2020,Harris County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,0,0,0,3,0,3,0,2020,Harris County
HOUSTON METRO TRANSIT PD,0,0,3,3,0,48,2,56,0,2020,Harris County
MEMORIAL VILLAGES PD,0,0,2,1,7,66,6,82,"12,375",2020,Harris County
GALENA PARK PD,1,2,3,22,28,93,34,183,"10,740",2020,Harris County
SAN JACINTO COLLEGE PD,0,0,0,0,1,13,2,16,0,2020,Harris County
ALDINE ISD PD,0,0,2,1,8,37,0,48,0,2020,Harris County
PASADENA PD,8,80,160,617,422,"2,507",622,"4,416","151,421",2020,Harris County
SEABROOK PD,0,21,3,24,33,146,30,257,"14,415",2020,Harris County
SOUTH HOUSTON PD,4,2,38,50,73,306,121,594,"17,485",2020,Harris County
SPRING VALLEY VILLAGE PD,0,0,0,1,2,65,14,82,"4,389",2020,Harris County
KATY ISD PD,0,6,2,3,1,119,0,131,0,2020,Harris County
HOUSTON COMM COLLEGE PD,0,0,0,1,4,46,4,55,0,2020,Harris County
SPRING ISD PD,0,2,0,3,5,20,0,30,0,2020,Harris County
LAKEVIEW PD,0,0,1,5,11,51,5,73,"6,231",2020,Harris County
LONE STAR COLLEGE PD,0,0,0,0,4,7,3,14,0,2020,Harris County
UNIV OF TX: HOUSTON  PD,0,2,1,3,7,236,13,262,0,2020,Harris County
SOUTHSIDE PLACE PD,0,0,0,3,0,11,0,14,"1,902",2020,Harris County
LIBERTY CO SO,11,52,14,173,204,323,187,964,"63,237",2020,Liberty County
LIBERTY PD,0,3,0,23,11,123,12,172,"9,418",2020,Liberty County
DAYTON PD,0,1,1,7,26,122,21,178,"8,510",2020,Liberty County
CLEVELAND PD (NR),3,0,3,42,48,261,37,394,"8,285",2020,Liberty County
MATAGORDA CO SO,2,12,3,54,56,181,41,349,"14,490",2020,Matagorda County
VAN VLECK ISD PD,0,0,0,0,0,4,0,4,0,2020,Matagorda County
BAY CITY ISD PD,0,0,0,2,0,9,0,11,0,2020,Matagorda County
PALACIOS PD,0,3,2,13,11,51,2,82,"4,516",2020,Matagorda County
BAY CITY PD,7,20,11,56,101,495,22,712,"17,505",2020,Matagorda County
OAK RIDGE NORTH PD,0,1,2,3,7,43,4,60,"3,171",2020,Montgomery County
MONTGOMERY CO SO,14,61,92,643,793,"3,039",525,"5,167","498,315",2020,Montgomery County
MONTGOMERY PD,0,1,2,4,5,13,3,28,"1,488",2020,Montgomery County
WILLIS PD,0,5,4,26,17,114,18,184,"7,166",2020,Montgomery County
SPLENDORA PD,0,0,0,6,7,17,5,35,"2,337",2020,Montgomery County
MAGNOLIA PD,0,0,3,5,9,20,4,41,"2,193",2020,Montgomery County
CONROE ISD PD,0,6,1,2,7,40,3,59,0,2020,Montgomery County
CONROE PD,2,35,47,91,248,"1,927",177,"2,527","94,451",2020,Montgomery County
PATTON VILLAGE PD,0,3,1,5,5,7,1,22,"2,228",2020,Montgomery County
ROMAN FOREST PD,0,0,1,2,0,18,1,22,"2,058",2020,Montgomery County
MONTGOMERY ISD PD,0,0,0,0,0,1,0,1,0,2020,Montgomery County
SHENANDOAH PD,1,4,3,5,11,170,21,215,"3,098",2020,Montgomery County
LIVINGSTON PD,0,1,5,16,10,228,15,275,"5,240",2020,Polk County
CORRIGAN PD,1,0,1,1,2,13,4,22,"1,613",2020,Polk County
POLK CO SO,5,22,8,43,170,311,66,625,"42,021",2020,Polk County
ONALASKA PD,0,4,1,10,10,24,8,57,"3,006",2020,Polk County
SAN JACINTO CO SO,0,31,1,6,325,318,68,749,"29,039",2020,San Jacinto County
HUNTSVILLE PD,1,24,20,114,96,510,70,835,"42,648",2020,Walker County
WALKER CO SO,0,8,4,49,58,102,24,245,"30,618",2020,Walker County
BROOKSHIRE PD,1,4,2,13,13,46,8,87,"5,948",2020,Waller County
WALLER CO SO,1,27,12,20,86,179,21,346,"29,516",2020,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,4,1,2,24,51,2,84,0,2020,Waller County
HEMPSTEAD PD,0,4,9,34,16,82,12,157,"8,699",2020,Waller County
WALLER PD,0,3,5,10,14,28,10,70,"3,654",2020,Waller County
PRAIRIE VIEW PD,1,2,5,15,26,23,7,79,"7,126",2020,Waller County
WHARTON CO SO,0,1,3,54,77,174,36,345,"21,310",2020,Wharton County
WHARTON PD,0,1,5,18,38,109,13,184,"8,612",2020,Wharton County
WHARTON ISD PD,0,0,0,0,0,0,0,0,0,2020,Wharton County
EL CAMPO PD,2,7,7,47,44,278,35,420,"11,523",2020,Wharton County
