AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
PHARR PD,2,58,26,152,244,1280,61,1823,80814,2018,Hidalgo County
ELSA PD,1,1,0,49,26,206,0,283,7274,2018,Hidalgo County
UNIV OF TX: RIO GRANDE VALLEY PD,0,2,0,0,0,56,0,58,0,2018,Hidalgo County
LA JOYA PD,0,5,2,33,10,51,0,101,4328,2018,Hidalgo County
WESLACO PD,0,29,42,91,162,1404,29,1757,40856,2018,Hidalgo County
ALTON PD,0,4,7,46,31,174,12,274,17805,2018,Hidalgo County
PALMHURST PD,0,0,0,6,0,158,0,164,2765,2018,Hidalgo County
EDCOUCH PD,0,1,1,4,6,19,0,31,3393,2018,Hidalgo County
EDINBURG PD,2,78,50,174,418,2756,74,3552,92391,2018,Hidalgo County
MCALLEN PD,0,39,26,57,203,3598,55,3978,144363,2018,Hidalgo County
HILL CO SO,0,14,3,34,93,151,34,329,22211,2018,Hill County
ITASCA PD,0,0,0,1,6,9,2,18,1692,2018,Hill County
HILLSBORO PD,1,5,4,10,29,289,11,349,8422,2018,Hill County
WHITNEY PD,0,0,0,6,8,18,1,33,2146,2018,Hill County
HOCKLEY CO SO,0,2,1,4,46,45,6,104,9412,2018,Hockley County
SOUTH PLAINS COLLEGE PD,0,0,0,0,1,23,1,25,0,2018,Hockley County
LEVELLAND PD,1,24,3,97,120,277,31,553,13646,2018,Hockley County
GRANBURY PD,0,10,5,10,25,454,15,519,10228,2018,Hood County
HOOD CO SO,2,13,3,53,111,244,37,463,48008,2018,Hood County
HOPKINS CO SO,2,8,0,6,26,33,11,86,19679,2018,Hopkins County
SULPHUR SPRINGS PD,2,6,9,20,33,98,26,194,16111,2018,Hopkins County
CUMBY PD (NR),0,0,0,0,0,0,0,0,792,2018,Hopkins County
CROCKETT PD,0,1,0,32,34,129,5,201,6470,2018,Houston County
HOUSTON CO SO,0,1,1,8,34,58,10,112,14976,2018,Houston County
GRAPELAND PD,0,0,0,1,5,10,2,18,1418,2018,Houston County
HOWARD CO SO,1,2,0,30,38,117,30,218,8094,2018,Howard County
BIG SPRING PD,2,12,15,145,167,568,80,989,28001,2018,Howard County
HUDSPETH CO SO,0,0,0,3,20,4,8,35,4558,2018,Hudspeth County
CADDO MILLS PD,0,0,0,0,1,0,0,1,1596,2018,Hunt County
HUNT CO SO,1,27,4,224,126,210,54,646,50608,2018,Hunt County
TX A&M UNIV: COMMERCE PD,0,1,0,1,6,51,1,60,0,2018,Hunt County
COMMERCE PD,2,3,0,27,35,121,12,200,9307,2018,Hunt County
GREENVILLE PD,0,24,11,48,87,446,46,662,27713,2018,Hunt County
HUTCHINSON CO SO,0,5,0,10,14,44,12,85,6719,2018,Hutchinson County
BORGER PD,0,11,4,21,84,365,35,520,12675,2018,Hutchinson County
IRION CO SO,0,1,0,3,7,20,3,34,1500,2018,Irion County
JACK CO SO,1,0,0,4,10,27,21,63,4444,2018,Jack County
JACKSBORO PD,0,1,0,6,12,31,3,53,4338,2018,Jack County
JACKSON CO SO,0,1,0,3,12,32,8,56,6977,2018,Jackson County
GANADO PD,0,2,0,1,19,6,0,28,2081,2018,Jackson County
EDNA PD,0,5,2,7,18,61,3,96,5811,2018,Jackson County
JASPER CO SO,1,20,3,45,111,168,38,386,25737,2018,Jasper County
JASPER PD,1,0,2,18,50,270,14,355,7602,2018,Jasper County
KIRBYVILLE PD (NR),0,1,1,4,4,7,4,21,2093,2018,Jasper County
JEFF DAVIS CO SO,1,1,0,3,1,4,1,11,2265,2018,Jeff Davis County
GROVES PD,0,8,13,50,56,231,20,378,15722,2018,Jefferson County
NEDERLAND PD,1,11,2,35,50,235,25,359,17563,2018,Jefferson County
LAMAR UNIV PD,0,3,1,0,1,47,0,52,0,2018,Jefferson County
PORT ARTHUR PD,13,20,96,261,504,807,134,1835,55643,2018,Jefferson County
BEAUMONT PD,13,96,358,798,961,3145,410,5781,119368,2018,Jefferson County
JEFFERSON CO SO,0,1,6,44,97,233,51,432,34964,2018,Jefferson County
PORT NECHES PD,0,12,2,43,49,116,16,238,12881,2018,Jefferson County
JIM HOGG CO SO,0,0,1,4,4,9,0,18,5175,2018,Jim Hogg County
JIM WELLS CO SO,2,12,1,94,178,141,25,453,17049,2018,Jim Wells County
ALICE PD,0,11,4,76,246,659,34,1030,18925,2018,Jim Wells County
PREMONT PD,0,0,0,11,14,17,1,43,2560,2018,Jim Wells County
JOHNSON CO SO,1,35,7,170,164,420,91,888,75900,2018,Johnson County
CLEBURNE PD,2,8,13,54,80,432,33,622,30317,2018,Johnson County
GODLEY PD,0,1,0,2,1,13,1,18,1150,2018,Johnson County
ALVARADO PD,0,2,2,2,21,50,10,87,4179,2018,Johnson County
JOSHUA PD,0,3,0,10,25,91,7,136,8019,2018,Johnson County
BURLESON PD,2,42,13,76,72,652,52,909,47612,2018,Johnson County
KEENE PD,0,2,0,23,11,38,5,79,6487,2018,Johnson County
VENUS PD,0,0,0,3,2,27,1,33,3683,2018,Johnson County
JONES CO SO,1,0,0,0,21,23,5,50,6404,2018,Jones County
HAMLIN PD,0,0,3,4,5,6,1,19,2003,2018,Jones County
HAWLEY PD (NR),0,0,0,0,0,0,0,0,617,2018,Jones County
STAMFORD PD,0,0,2,2,10,37,3,54,2933,2018,Jones County
ANSON PD (NR),0,0,1,10,3,6,0,20,2293,2018,Jones County
KARNES CO SO,0,0,0,2,39,42,11,94,8516,2018,Karnes County
KARNES CITY PD,0,1,2,8,13,23,4,51,3333,2018,Karnes County
KENEDY PD,0,0,1,19,34,147,5,206,3340,2018,Karnes County
TERRELL PD,4,10,14,54,101,438,63,684,18104,2018,Kaufman County
FORNEY PD,0,8,5,8,23,218,27,289,21464,2018,Kaufman County
KAUFMAN CO SO,2,49,8,73,158,332,80,702,74563,2018,Kaufman County
KAUFMAN PD,0,4,1,11,32,129,17,194,7428,2018,Kaufman County
CRANDALL PD,0,1,1,4,6,20,5,37,3721,2018,Kaufman County
BOERNE PD,0,13,3,14,29,282,33,374,17008,2018,Kendall County
KENDALL CO SO,0,8,0,7,32,74,14,135,26357,2018,Kendall County
KENEDY CO SO,0,0,0,2,1,2,2,7,416,2018,Kenedy County
KENT CO SO (NR),0,1,0,1,0,8,1,11,755,2018,Kent County
KERR CO SO,0,14,0,16,45,106,4,185,26487,2018,Kerr County
INGRAM PD,0,0,0,2,10,25,1,38,1863,2018,Kerr County
KERRVILLE PD,1,6,6,55,41,343,16,468,23532,2018,Kerr County
KIMBLE CO SO,0,0,0,0,2,7,2,11,1940,2018,Kimble County
JUNCTION PD,0,0,0,5,5,10,2,22,2431,2018,Kimble County
KING CO SO,0,0,0,0,0,0,0,0,296,2018,King County
KINNEY CO SO (NR),0,0,0,0,1,0,0,1,2008,2018,Kinney County
KINGSVILLE PD,0,0,8,73,162,571,21,835,25383,2018,Kleberg County
TX A&M UNIV: KINGSVILLE PD (NR),0,1,0,0,4,37,0,42,0,2018,Kleberg County
KLEBERG CO SO,0,0,0,31,15,37,4,87,5486,2018,Kleberg County
KNOX CITY PD,0,0,1,0,13,5,0,19,1137,2018,Knox County
MUNDAY PD (NR),0,0,0,0,6,1,0,7,1287,2018,Knox County
KNOX CO SO (NR),0,1,0,0,3,9,0,13,1274,2018,Knox County
PARIS PD,1,4,23,190,173,507,45,943,24736,2018,Lamar County
LAMAR CO SO,2,12,1,19,31,103,10,178,21361,2018,Lamar County
RENO PD (LAMAR CO),0,0,0,2,8,52,10,72,3318,2018,Lamar County
PARIS JR COLL,0,1,1,0,0,7,0,9,0,2018,Lamar County
LITTLEFIELD PD,0,6,2,22,23,97,6,156,5934,2018,Lamb County
OLTON PD (NR),0,1,0,5,16,12,0,34,2097,2018,Lamb County
SUDAN PD,0,0,0,6,3,0,2,11,905,2018,Lamb County
LAMB CO SO,0,3,0,2,9,26,7,47,4129,2018,Lamb County
LAMPASAS CO SO,0,0,0,11,31,38,1,81,10556,2018,Lampasas County
LAMPASAS PD,0,9,1,12,24,159,4,209,7992,2018,Lampasas County
KEMPNER PD,0,0,0,0,0,0,0,0,1098,2018,Lampasas County
ENCINAL PD (NR),0,1,0,0,0,2,0,3,591,2018,La Salle County
LA SALLE CO SO,0,0,0,2,6,31,0,39,7073,2018,La Salle County
YOAKUM PD,0,3,0,11,18,30,3,65,5983,2018,Lavaca County
MOULTON PD,0,0,0,0,0,0,0,0,919,2018,Lavaca County
HALLETTSVILLE PD,0,0,0,14,8,37,3,62,2626,2018,Lavaca County
SHINER PD,0,0,0,1,3,10,1,15,2173,2018,Lavaca County
LAVACA CO SO,1,10,0,5,21,24,3,64,10531,2018,Lavaca County
GIDDINGS PD,0,6,2,9,0,78,5,100,5141,2018,Lee County
LEE CO SO,1,6,0,12,24,45,7,95,10874,2018,Lee County
NORMANGEE PD (NR),0,0,0,1,1,2,0,4,700,2018,Leon County
LEON CO SO,1,0,0,18,46,98,15,178,15432,2018,Leon County
LIBERTY CO SO,2,46,4,125,237,333,98,845,59062,2018,Liberty County
DAYTON PD,0,2,11,11,32,174,30,260,8070,2018,Liberty County
CLEVELAND PD (NR),0,0,5,32,43,275,29,384,8171,2018,Liberty County
LIBERTY PD,0,5,4,24,21,145,18,217,9334,2018,Liberty County
GROESBECK PD,0,5,0,5,38,60,7,115,4316,2018,Limestone County
MEXIA PD,0,3,4,26,48,184,17,282,7383,2018,Limestone County
MEXIA ISD PD (NR),0,0,0,0,0,0,0,0,0,2018,Limestone County
LIMESTONE CO SO,0,2,0,24,49,48,9,132,11767,2018,Limestone County
LIPSCOMB CO SO,0,2,0,2,2,17,11,34,3383,2018,Lipscomb County
LIVE OAK CO SO (NR),0,1,0,4,17,21,3,46,7673,2018,Live Oak County
GEORGE WEST PD (NR),0,0,0,5,1,2,0,8,2601,2018,Live Oak County
SUNRISE BEACH VILLAGE PD,0,0,0,0,4,5,0,9,789,2018,Llano County
LLANO CO SO,0,0,2,9,32,43,4,90,14015,2018,Llano County
LOVING CO SO,0,0,0,0,0,17,0,17,145,2018,Loving County
IDALOU PD,0,3,0,1,1,9,6,20,2311,2018,Lubbock County
SLATON PD,0,2,4,20,36,88,9,159,5945,2018,Lubbock County
LUBBOCK PD,13,243,443,1874,2316,8244,1195,14328,257372,2018,Lubbock County
LUBBOCK CO SO,1,12,0,26,79,254,33,405,32090,2018,Lubbock County
WOLFFORTH PD,0,0,0,0,10,28,1,39,5131,2018,Lubbock County
SHALLOWATER PD,0,0,0,1,22,5,2,30,2545,2018,Lubbock County
TEXAS TECH UNIV: LUBBOCK PD,0,9,1,3,9,277,4,303,0,2018,Lubbock County
LUBBOCK CHRISTIAN UNIV. PD,0,0,0,0,2,0,0,2,0,2018,Lubbock County
IDALOU ISD PD,0,0,0,0,0,0,0,0,0,2018,Lubbock County
TAHOKA PD,0,0,0,1,7,15,4,27,2617,2018,Lynn County
LYNN CO SO,0,0,0,0,7,11,7,25,2513,2018,Lynn County
BRADY PD,0,0,1,4,12,58,8,83,5272,2018,McCulloch County
MCCULLOCH CO SO,0,0,0,0,6,6,2,14,2625,2018,McCulloch County
ROBINSON PD,0,0,1,24,23,125,8,181,11774,2018,McLennan County
HEWITT PD,1,7,1,9,31,172,2,223,14556,2018,McLennan County
WEST PD,0,2,0,4,8,30,2,46,2990,2018,McLennan County
RIESEL PD,0,0,0,0,3,0,1,4,1026,2018,McLennan County
MCGREGOR PD,0,11,0,7,11,29,5,63,5134,2018,McLennan County
BEVERLY HILLS PD,0,1,1,2,14,31,16,65,1982,2018,McLennan County
BAYLOR UNIV PD,0,3,0,0,9,202,5,219,0,2018,McLennan County
WACO PD,2,129,121,501,1097,3350,328,5528,138091,2018,McLennan County
MCLENNAN COMM COLLEGE PD,0,0,0,1,2,12,0,15,0,2018,McLennan County
TSTC: WACO PD,0,4,1,0,11,30,3,49,0,2018,McLennan County
LACY LAKEVIEW PD,0,8,2,20,35,159,13,237,6630,2018,McLennan County
WOODWAY PD,0,2,1,4,6,100,5,118,8878,2018,McLennan County
BELLMEAD PD,0,16,10,91,78,541,38,774,10587,2018,McLennan County
LORENA PD,0,1,2,5,6,28,0,42,1771,2018,McLennan County
MCLENNAN CO SO,0,26,2,46,138,227,64,503,45925,2018,McLennan County
MCMULLEN CO SO,0,0,0,1,5,12,1,19,787,2018,McMullen County
MADISONVILLE PD,0,0,4,14,30,81,7,136,4709,2018,Madison County
MADISON CO SO,0,2,0,5,21,38,5,71,9465,2018,Madison County
MARION CO SO,1,4,1,32,52,67,5,162,8028,2018,Marion County
JEFFERSON PD,0,0,0,1,0,0,0,1,1949,2018,Marion County
MARTIN CO SO,0,1,0,2,4,34,1,42,2723,2018,Martin County
STANTON PD,0,3,1,5,5,17,10,41,3016,2018,Martin County
MASON CO SO,0,0,0,1,7,9,1,18,4242,2018,Mason County
MATAGORDA CO SO,2,7,2,46,96,184,26,363,14605,2018,Matagorda County
BAY CITY ISD PD,0,0,0,10,0,3,0,13,0,2018,Matagorda County
PALACIOS PD,0,1,2,9,41,54,3,110,4634,2018,Matagorda County
BAY CITY PD,3,13,18,45,129,561,18,787,17517,2018,Matagorda County
MAVERICK CO SO (NR),1,2,0,15,29,79,5,131,29282,2018,Maverick County
EAGLE PASS PD,0,2,13,40,133,451,16,655,29329,2018,Maverick County
DEVINE PD,0,3,1,3,10,69,16,102,4876,2018,Medina County
CASTROVILLE PD,0,1,0,2,16,27,4,50,3064,2018,Medina County
NATALIA PD,0,0,0,5,10,7,3,25,1567,2018,Medina County
HONDO PD,0,7,1,19,34,237,4,302,9375,2018,Medina County
MEDINA CO SO,1,20,4,50,96,200,40,411,29796,2018,Medina County
MENARD CO SO (NR),0,0,0,1,13,0,0,14,2103,2018,Menard County
MIDLAND CO SO,4,3,7,86,86,362,111,659,26877,2018,Midland County
MIDLAND ISD PD,0,0,1,16,0,0,0,17,0,2018,Midland County
MIDLAND PD,5,60,59,279,378,2108,278,3167,140072,2018,Midland County
THORNDALE PD,0,3,0,4,6,13,2,28,1302,2018,Milam County
ROCKDALE PD,1,2,3,7,28,107,11,159,5663,2018,Milam County
CAMERON PD,0,3,0,16,32,30,4,85,5524,2018,Milam County
MILAM CO SO,0,0,1,17,20,47,7,92,12551,2018,Milam County
MILLS CO SO,0,0,0,2,6,7,1,16,4901,2018,Mills County
MITCHELL CO SO (NR),0,0,0,0,12,12,5,29,4404,2018,Mitchell County
COLORADO CITY PD (NR),0,0,1,6,33,86,3,129,3915,2018,Mitchell County
MONTAGUE CO SO,0,2,3,23,31,45,11,115,10415,2018,Montague County
BOWIE PD,0,0,3,7,43,82,11,146,5067,2018,Montague County
NOCONA PD (NR),0,2,0,6,11,5,0,24,2966,2018,Montague County
OAK RIDGE NORTH PD,0,0,1,1,5,25,5,37,3143,2018,Montgomery County
WILLIS PD,0,7,6,27,25,101,15,181,6515,2018,Montgomery County
MONTGOMERY PD,0,0,0,4,2,6,0,12,1034,2018,Montgomery County
WOODBRANCH PD (CB),0,0,0,0,1,0,0,1,1379,2018,Montgomery County
MONTGOMERY CO SO,10,107,132,598,979,3421,518,5765,469874,2018,Montgomery County
MAGNOLIA PD,0,0,1,2,4,13,1,21,2143,2018,Montgomery County
SPLENDORA PD,0,0,2,2,21,16,7,48,2109,2018,Montgomery County
CONROE ISD PD,0,18,2,6,5,93,0,124,0,2018,Montgomery County
CONROE PD,3,54,49,119,287,1768,137,2417,87544,2018,Montgomery County
PATTON VILLAGE PD,0,1,0,2,5,7,2,17,2016,2018,Montgomery County
ROMAN FOREST PD,0,1,0,0,0,0,1,2,1968,2018,Montgomery County
SHENANDOAH PD,1,2,4,4,34,200,21,266,3008,2018,Montgomery County
CACTUS PD,0,0,0,10,7,13,1,31,3268,2018,Moore County
MOORE CO SO,0,1,0,2,13,19,4,39,3990,2018,Moore County
DUMAS PD,0,6,1,20,29,201,32,289,14790,2018,Moore County
NAPLES PD (NR),0,2,0,17,1,1,1,22,1319,2018,Morris County
OMAHA PD (NR),0,0,0,1,2,1,1,5,980,2018,Morris County
MORRIS CO SO,0,3,0,3,26,39,5,76,6173,2018,Morris County
DAINGERFIELD PD,0,1,1,8,10,32,1,53,2394,2018,Morris County
LONE STAR PD,0,1,0,14,3,13,0,31,1497,2018,Morris County
MOTLEY CO SO,0,0,0,1,1,3,0,5,1231,2018,Motley County
STEPHEN F. AUSTIN UNIV PD,0,5,0,0,4,36,0,45,0,2018,Nacogdoches County
NACOGDOCHES CO SO,1,7,0,52,99,180,30,369,31823,2018,Nacogdoches County
NACOGDOCHES PD,3,14,30,57,199,750,31,1084,33703,2018,Nacogdoches County
NAVARRO CO SO,2,13,2,37,110,143,28,335,23497,2018,Navarro County
CORSICANA PD,2,26,13,94,149,579,36,899,23660,2018,Navarro County
CORSICANA ISD PD,0,0,0,3,4,6,1,14,0,2018,Navarro County
NEWTON CO SO,1,0,0,21,39,52,18,131,11469,2018,Newton County
NEWTON PD,0,0,1,1,4,3,2,11,2375,2018,Newton County
TSTC: SWEETWATER PD,0,0,0,0,1,0,0,1,0,2018,Nolan County
SWEETWATER PD,0,7,5,42,147,156,16,373,10530,2018,Nolan County
NOLAN CO SO,0,0,0,5,6,12,2,25,2845,2018,Nolan County
NUECES CO SO,2,13,5,51,49,198,11,329,15226,2018,Nueces County
BISHOP PD (NR),0,0,0,3,11,16,0,30,3079,2018,Nueces County
TX A&M UNIV: CORP CHRISTI PD,0,1,0,1,9,77,2,90,0,2018,Nueces County
CORPUS CHRISTI PD,24,295,515,1654,2146,8913,916,14463,328614,2018,Nueces County
ROBSTOWN PD,4,7,5,27,126,307,27,503,11373,2018,Nueces County
PORT ARANSAS PD,0,3,1,11,38,216,25,294,4245,2018,Nueces County
DRISCOLL PD,0,0,0,2,0,2,0,4,747,2018,Nueces County
CORPUS CHRISTI ISD PD (NR),0,0,3,176,19,46,3,247,0,2018,Nueces County
OCHILTREE CO SO,0,0,0,3,13,15,1,32,1358,2018,Ochiltree County
PERRYTON PD,0,6,0,24,47,109,8,194,8675,2018,Ochiltree County
OLDHAM CO SO,0,0,0,2,2,3,1,8,2117,2018,Oldham County
ORANGE PD,1,16,17,71,131,215,36,487,19137,2018,Orange County
PINEHURST PD,0,0,1,8,2,49,5,65,2070,2018,Orange County
WEST ORANGE PD,0,1,2,6,10,80,7,106,3414,2018,Orange County
ORANGE CO SO,0,20,7,43,178,268,95,611,41007,2018,Orange County
VIDOR PD,1,2,2,21,63,126,16,231,10875,2018,Orange County
BRIDGE CITY PD,0,5,0,6,12,82,13,118,8208,2018,Orange County
MINERAL WELLS PD,0,5,9,36,121,249,29,449,14729,2018,Palo Pinto County
PALO PINTO CO SO,0,0,1,3,32,49,17,102,13988,2018,Palo Pinto County
PANOLA CO SO,2,16,3,25,91,194,11,342,16291,2018,Panola County
CARTHAGE PD,0,0,2,24,32,142,7,207,6555,2018,Panola County
WEATHERFORD PD,0,15,10,33,67,407,34,566,31389,2018,Parker County
RENO PD (PARKER CO),0,0,0,27,10,18,3,58,0,2018,Parker County
PARKER CO SO,2,40,6,88,224,523,78,961,90981,2018,Parker County
SPRINGTOWN PD,0,1,0,6,12,66,0,85,2950,2018,Parker County
HUDSON OAKS PD,0,0,2,3,3,106,6,120,2444,2018,Parker County
WILLOW PARK PD,0,2,0,6,8,37,7,60,5569,2018,Parker County
FRIONA PD,0,1,1,3,8,11,1,25,3881,2018,Parmer County
FARWELL PD,0,0,1,2,1,4,1,9,1312,2018,Parmer County
BOVINA PD,0,0,0,2,5,4,5,16,1799,2018,Parmer County
PARMER CO SO,0,1,0,4,2,7,2,16,2764,2018,Parmer County
FORT STOCKTON PD,1,3,2,59,49,55,4,173,8365,2018,Pecos County
PECOS CO SO,0,0,0,0,18,64,9,91,7242,2018,Pecos County
LIVINGSTON PD,0,7,10,22,34,211,16,300,5128,2018,Polk County
CORRIGAN PD,0,0,0,2,4,19,2,27,1581,2018,Polk County
POLK CO SO,1,15,2,52,177,295,43,585,40100,2018,Polk County
ONALASKA PD,0,0,0,8,17,9,4,38,2771,2018,Polk County
AMARILLO INTL AIRPORT PD,0,0,0,0,0,0,0,0,0,2018,Potter County
AMARILLO COLLEGE PD,0,0,0,0,1,16,0,17,0,2018,Potter County
AMARILLO PD,12,207,305,1107,1537,6024,911,10103,201082,2018,Potter County
POTTER CO SO,0,3,0,31,43,129,26,232,15184,2018,Potter County
MARFA PD,0,0,0,6,1,1,0,8,1742,2018,Presidio County
PRESIDIO CO SO,0,0,0,0,0,2,1,3,2990,2018,Presidio County
RAINS CO SO,0,1,0,17,28,63,11,120,11857,2018,Rains County
CANYON PD,0,2,1,11,14,102,6,136,15608,2018,Randall County
RANDALL CO SO,0,24,6,24,70,156,22,302,24115,2018,Randall County
TX A&M UNIV: WEST PD,0,0,0,0,3,24,0,27,0,2018,Randall County
REAGAN CO SO,0,0,0,8,12,41,6,67,3754,2018,Reagan County
REAL CO SO,0,0,0,6,18,26,3,53,3435,2018,Real County
RED RIVER CO SO,0,4,0,8,20,23,3,58,7871,2018,Red River County
BOGATA PD,0,0,0,11,21,14,1,47,1066,2018,Red River County
PECOS PD,0,17,5,102,26,135,3,288,10094,2018,Reeves County
REEVES CO SO,0,0,1,3,0,105,2,111,5363,2018,Reeves County
REFUGIO PD,0,0,0,3,3,7,2,15,2826,2018,Refugio County
REFUGIO CO SO,0,0,0,8,12,32,4,56,4357,2018,Refugio County
ROBERTS CO SO,0,0,0,0,0,7,0,7,937,2018,Roberts County
HEARNE PD,0,7,6,17,32,75,8,145,4536,2018,Robertson County
ROBERTSON CO SO,0,1,1,4,23,56,12,97,10609,2018,Robertson County
BREMOND PD,1,0,0,1,2,3,1,8,956,2018,Robertson County
CALVERT PD,0,0,1,5,18,8,3,35,1149,2018,Robertson County
ROCKWALL CO SO,0,7,0,10,21,64,24,126,12151,2018,Rockwall County
HEATH PD,0,3,1,3,16,36,3,62,8938,2018,Rockwall County
FATE PD,0,1,0,6,6,50,7,70,13003,2018,Rockwall County
ROYSE CITY PD,0,3,1,19,18,101,16,158,13104,2018,Rockwall County
ROCKWALL PD,1,22,7,20,35,666,64,815,45183,2018,Rockwall County
RUNNELS CO SO,0,0,0,1,8,9,0,18,4102,2018,Runnels County
BALLINGER PD,0,0,0,14,18,44,3,79,3640,2018,Runnels County
WINTERS PD,0,0,1,11,22,9,0,43,2461,2018,Runnels County
HENDERSON PD,0,4,10,72,62,426,28,602,13241,2018,Rusk County
OVERTON PD,0,1,1,10,9,12,1,34,2490,2018,Rusk County
RUSK CO SO,0,10,2,55,208,284,50,609,32392,2018,Rusk County
TATUM PD,0,0,0,4,14,9,2,29,1386,2018,Rusk County
SABINE CO SO,0,5,0,31,61,51,14,162,8367,2018,Sabine County
HEMPHILL PD (NR),0,0,0,1,2,12,3,18,1203,2018,Sabine County
SAN AUGUSTINE PD,0,0,0,0,4,2,0,6,1856,2018,San Augustine County
SAN AUGUSTINE CO SO,0,3,1,17,22,23,7,73,6291,2018,San Augustine County
SAN JACINTO CO SO,0,16,2,24,144,168,48,402,28457,2018,San Jacinto County
SINTON PD,0,11,0,35,41,144,5,236,5424,2018,San Patricio County
PORTLAND PD,0,7,5,12,33,325,20,402,17547,2018,San Patricio County
LAKE CITY PD (NR),0,0,0,0,0,0,0,0,525,2018,San Patricio County
TAFT ISD PD,0,0,0,0,0,1,0,1,0,2018,San Patricio County
GREGORY PD (NR),0,0,1,2,4,8,1,16,1949,2018,San Patricio County
MATHIS PD,0,3,2,48,32,47,10,142,4797,2018,San Patricio County
INGLESIDE PD,1,5,1,7,60,131,15,220,10453,2018,San Patricio County
TAFT PD,0,0,0,5,24,32,4,65,2924,2018,San Patricio County
SAN PATRICIO CO SO (NR),3,0,1,37,71,167,20,299,16350,2018,San Patricio County
SAN SABA CO SO,0,0,0,8,25,7,2,42,2860,2018,San Saba County
SAN SABA PD,0,1,0,7,17,29,3,57,3059,2018,San Saba County
SCHLEICHER CO SO,0,0,0,0,3,21,3,27,2928,2018,Schleicher County
SCURRY CO SO,0,2,0,5,10,15,2,34,5683,2018,Scurry County
SNYDER PD,0,3,2,29,55,140,3,232,11337,2018,Scurry County
SHACKELFORD CO SO,0,0,0,0,3,4,2,9,3311,2018,Shackelford County
CENTER PD,1,3,1,22,59,174,5,265,5324,2018,Shelby County
SHELBY CO SO,0,3,0,9,43,31,2,88,18985,2018,Shelby County
SHERMAN CO SO,0,1,0,0,4,0,0,5,978,2018,Sherman County
SMITH CO SO,8,55,7,202,409,747,189,1617,102318,2018,Smith County
BULLARD PD,1,4,0,8,4,12,0,29,3421,2018,Smith County
TYLER JR COLLEGE PD,0,0,0,1,3,34,1,39,0,2018,Smith County
UNIV OF TX: TYLER PD,0,0,0,0,0,30,1,31,0,2018,Smith County
ARP PD,0,1,0,3,1,2,0,7,1009,2018,Smith County
UNIV OF TX: HSC - TYLER PD,0,0,0,4,0,6,0,10,0,2018,Smith County
TROUP PD (NR),0,2,2,5,28,38,0,75,2019,2018,Smith County
WHITEHOUSE PD,0,2,0,9,11,40,3,65,8406,2018,Smith County
LINDALE PD,0,2,1,9,35,103,5,155,6268,2018,Smith County
TYLER PD,8,83,87,269,393,2655,166,3661,106159,2018,Smith County
SOMERVELL CO SO,1,1,1,2,6,28,1,40,8871,2018,Somervell County
RIO GRANDE CITY ISD PD,0,0,0,5,1,41,0,47,0,2018,Starr County
STARR CO SO,0,10,2,49,62,85,13,221,36924,2018,Starr County
LA GRULLA PD,0,0,0,4,0,6,2,12,1711,2018,Starr County
RIO GRANDE CITY PD,0,1,3,55,29,151,14,253,14617,2018,Starr County
ROMA PD,0,4,2,19,17,48,18,108,11506,2018,Starr County
STEPHENS CO SO,0,0,0,2,18,26,3,49,3876,2018,Stephens County
BRECKENRIDGE PD,2,4,1,6,37,91,4,145,5396,2018,Stephens County
STERLING CO SO,0,0,0,1,1,3,0,5,1316,2018,Sterling County
STONEWALL CO SO (NR),0,0,0,4,1,2,0,7,1369,2018,Stonewall County
SONORA PD,0,2,1,4,0,23,2,32,2737,2018,Sutton County
SUTTON CO SO,0,0,0,0,1,1,0,2,980,2018,Sutton County
HAPPY PD (NR),0,0,0,0,0,0,0,0,665,2018,Swisher County
KRESS PD (NR),0,0,0,1,0,1,0,2,689,2018,Swisher County
SWISHER CO SO,0,1,0,0,4,2,1,8,1463,2018,Swisher County
TULIA PD,0,2,3,30,34,91,9,169,4690,2018,Swisher County
WESTOVER HILLS PD,0,0,0,1,6,6,0,13,701,2018,Tarrant County
FORT WORTH PD,56,562,1124,2842,4510,18145,2990,30229,893756,2018,Tarrant County
WHITE SETTLEMENT PD,0,0,14,19,56,231,51,371,18082,2018,Tarrant County
EVERMAN PD,1,7,9,18,13,72,16,136,6382,2018,Tarrant County
NORTH RICHLAND HILLS PD,1,18,27,65,153,1126,122,1512,71498,2018,Tarrant County
ARLINGTON PD,7,251,366,1259,1521,9170,1243,13817,400920,2018,Tarrant County
UNIV OF TX: ARLINGTON PD,0,3,0,4,18,98,2,125,0,2018,Tarrant County
PELICAN BAY PD,0,0,0,1,14,10,1,26,1780,2018,Tarrant County
EULESS PD,0,6,30,55,154,922,111,1278,55731,2018,Tarrant County
HALTOM CITY PD,0,49,35,56,193,758,203,1294,44708,2018,Tarrant County
COLLEYVILLE PD,0,3,2,3,13,137,0,158,27262,2018,Tarrant County
LAKE WORTH PD,0,0,9,6,65,279,12,371,5002,2018,Tarrant County
KELLER PD,0,10,3,12,20,287,14,346,48439,2018,Tarrant County
DALWORTHINGTON GARDENS PD,0,0,0,1,4,34,1,40,2405,2018,Tarrant County
TARRANT CO SO,4,34,11,60,213,458,57,837,49632,2018,Tarrant County
WATAUGA PD,0,13,10,25,40,244,35,367,24757,2018,Tarrant County
